symbol,asset_name,sector,industry,first_traded,index_inclusion
AAPL,APPLE INC,Technology,Consumer Electronics,1980-12-12,1982-11-30
NVDA,NVIDIA CORP,Technology,Semiconductors,1999-01-22,2001-11-30
MSFT,MICROSOFT CORP,Technology,Software - Infrastructure,1986-03-13,1994-06-01
AMZN,AMAZON COM INC,Consumer Cyclical,Internet Retail,1997-05-15,2005-11-18
META,META PLATFORMS INC CLASS A,Communication Services,Internet Content & Information,2012-05-18,2013-12-23
GOOGL,ALPHABET INC CLASS A,Communication Services,Internet Content & Information,2004-08-19,2014-04-03
GOOG,ALPHABET INC CLASS C,Communication Services,Internet Content & Information,2004-08-19,2006-04-03
BRK-A,BERKSHIRE HATHAWAY INC CLASS A,Financial Services,Insurance - Diversified,1980-03-17,2010-02-16
BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financial Services,Insurance - Diversified,1996-05-09,2010-02-16
AVGO,BROADCOM INC,Technology,Semiconductors,2009-08-06,2014-05-08
TSLA,TESLA INC,Consumer Cyclical,Auto Manufacturers,2010-06-29,2020-12-21
LLY,ELI LILLY,Healthcare,Drug Manufacturers - General,1972-06-01,1970-12-31
JPM,JPMORGAN CHASE & CO,Financial Services,Banks - Diversified,1980-03-17,1975-06-30
XOM,EXXON MOBIL CORP,Energy,Oil & Gas Integrated,1962-01-02,1957-03-04
UNH,UNITEDHEALTH GROUP INC,Healthcare,Healthcare Plans,1984-10-17,1994-07-01
V,VISA INC CLASS A,Financial Services,Credit Services,2008-03-19,2009-12-21
MA,MASTERCARD INC CLASS A,Financial Services,Credit Services,2006-05-25,2008-07-18
HD,HOME DEPOT INC,Consumer Cyclical,Home Improvement Retail,1981-09-22,1988-03-31
PG,PROCTER & GAMBLE,Consumer Defensive,Household & Personal Products,1962-01-02,1957-03-04
COST,COSTCO WHOLESALE CORP,Consumer Defensive,Discount Stores,1986-07-09,1993-10-01
JNJ,JOHNSON & JOHNSON,Healthcare,Drug Manufacturers - General,1962-01-02,1973-06-30
ABBV,ABBVIE INC,Healthcare,Drug Manufacturers - General,2013-01-02,2012-12-31
WMT,WALMART INC,Consumer Defensive,Discount Stores,1972-08-25,1982-08-31
NFLX,NETFLIX INC,Communication Services,Entertainment,2002-05-23,2010-12-20
BAC,BANK OF AMERICA CORP,Financial Services,Banks - Diversified,1973-02-21,1976-06-30
CRM,SALESFORCE INC,Technology,Software - Application,2004-06-23,2008-09-15
