name,summary,currency,sector,industry_group,industry,exchange,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi
"Agilent Technologies, Inc.","Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass and optical emission spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software, information management, and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment to produce synthesized oligonucleotide. It also offers immunohistochemistry, in situ hybridization, and hematoxylin and eosin staining and special staining; instruments, consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. It has collaboration agreement with SGS AXYS. The company was incorporated in 1999 and is headquartered in Santa Clara, California.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NYQ,New York Stock Exchange,United States,CA,Santa Clara,95051,http://www.agilent.com,Large Cap,US00846U1016,00846U101,BBG000C2V541,BBG000C2V3D6,BBG001SCTQY4
Alcoa Corporation,"Alcoa Corporation, together with its subsidiaries, produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Brazil, Canada, and internationally. The company operates through three segments: Bauxite, Alumina, and Aluminum. It engages in bauxite mining operations; and processes bauxite into alumina and sells it to customers who process it into industrial chemical products, as well as aluminum smelting, casting, and rolling businesses. The company offers primary aluminum in the form of alloy ingot or value-add ingot to customers that produce products for the transportation, building and construction, packaging, wire, and other industrial markets; and flat-rolled aluminum sheets to customers that produce beverage and food cans. In addition, it owns hydro power plants that produce and sell electricity to the wholesale market to traders, large industrial consumers, distribution companies, and other generation companies. The company was formerly known as Alcoa Upstream Corporation and changed its name to Alcoa Corporation in October 2016. The company was founded in 1888 and is headquartered in Pittsburgh, Pennsylvania.",USD,Materials,Materials,Metals & Mining,NYQ,New York Stock Exchange,United States,PA,Pittsburgh,15212-5858,http://www.alcoa.com,Large Cap,US0138721065,13872106,BBG00B3T3HK5,BBG00B3T3HD3,BBG00B3T3HF1
American Airlines Group Inc.,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",USD,Industrials,Transportation,Airlines,NMS,NASDAQ Global Select,United States,TX,Fort Worth,76155,http://www.aa.com,Mid Cap,US02376R1023,02376R102,BBG005P7Q8V5,BBG005P7Q881,BBG005P7Q907
"AAON, Inc.","AAON, Inc., together with its subsidiaries, engages in engineering, manufacturing, marketing, and selling air conditioning and heating equipment in the United States and Canada. It offers rooftop units, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal/water-source heat pumps, self-contained units, coils, and controls. The company markets and sells its products to retail, manufacturing, educational, lodging, supermarket, medical, and other commercial industries. It sells its products through a network of manufacturers' representatives and internal sales force. The company was incorporated in 1987 and is based in Tulsa, Oklahoma.",USD,Industrials,Capital Goods,Building Products,NMS,NASDAQ Global Select,United States,OK,Tulsa,74107,http://www.aaon.com,Mid Cap,US0003602069,360206,BBG000C2M952,BBG000C2LZP3,BBG001S6CZK0
"Advance Auto Parts, Inc.","Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",USD,Consumer Discretionary,Retailing,Specialty Retail,NYQ,New York Stock Exchange,United States,NC,Raleigh,27604,http://www.advanceautoparts.com,Mid Cap,US00751Y1064,00751Y106,BBG000F7RFH6,BBG000F7RCJ1,BBG001SD2SB2
Apple Inc.,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",USD,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",NMS,NASDAQ Global Select,United States,CA,Cupertino,95014,http://www.apple.com,Mega Cap,US0378331005,37833100,BBG000B9Y5X2,BBG000B9XRY4,BBG001S5N8V8
"Atlas Air Worldwide Holdings, Inc.","Atlas Air Worldwide Holdings, Inc., through its subsidiaries, provides outsourced aircraft and aviation operating services. It operates through three segments: ACMI, Charter, and Dry Leasing. The company offers outsourced cargo and passenger aircraft operating solutions, including contractual service arrangements, such as the provision of aircraft; and value-added services, including crew, maintenance, and insurance to aircraft and other customers. It also provides cargo and passenger aircraft charter services to the U.S. Military Air Mobility Command, charter brokers, freight forwarders, direct shippers, airlines, sports teams and fans, and private charter customers; and cargo and passenger aircraft and engines dry leasing services. In addition, the company offers administrative and management support services, and flight simulator training services. It also serves express delivery providers, e-commerce retailers, and airlines. The company has operations in Africa, Asia, Australia, Europe, the Middle East, North America, and South America. Atlas Air Worldwide Holdings, Inc. was founded in 1992 and is headquartered in Purchase, New York.",USD,Industrials,Transportation,Air Freight & Logistics,NMS,NASDAQ Global Select,United States,NY,Purchase,10577-2543,http://www.atlasairworldwide.com,Mid Cap,,,,,
AllianceBernstein Holding L.P.,"AllianceBernstein Holding L.P. is publicly owned investment manager. The firm also provides research services to its clients. It provides its services to investment companies, pension and profit sharing plans, banks and thrift institutions, trusts, estates, government agencies, charitable organizations, individuals, corporations, and other business entities. The firm invests in public equity, fixed income, and alternative investment markets across the globe. It employs long/short strategy to make its investments. The firm conducts in-house research to make its investments. AllianceBernstein Holding L.P. was founded in 1987 and is based in New York, New York.",USD,Financials,Diversified Financials,Capital Markets,NYQ,New York Stock Exchange,United States,NY,New York,10105,http://www.alliancebernstein.com,Mid Cap,FR0010557264,,,,
ABB Ltd,"ABB Ltd manufactures and sells electrification, industrial automation, and robotics and motion products for customers in utilities, industry and transport, and infrastructure worldwide. Its Electrification segment provides electric vehicle charging infrastructure, renewable power solutions, modular substation packages, distribution automation products, switchboard and panel boards, switchgears, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions for integrating and automating lighting, heating, ventilation, security, and data communication networks. The company's Robotics & Discrete Automation segments provides industrial robots, software, robotic solutions and systems, field services, spare parts, and digital services. This segment also offers solutions based on its programmable logic controllers, industrial PCs, servo motion, transport systems, and machine vision. Its Industrial Automation segment develops and sells industry-specific, integrated automation, and electrification systems and solutions, as well as digital solutions, lifecycle services, and artificial intelligence applications for the process and hybrid industries. This segment also offers process and discrete control technologies, advanced process control software and manufacturing execution systems, sensing, measurement, analytical instrumentation, electric ship propulsion systems, and large turbochargers, as well as remote monitoring, preventive maintenance, asset performance management, and cybersecurity services. The company's Motion segment manufactures and sells drives, motors, generators, traction converters, and mechanical power transmission products. ABB Ltd has a strategic collaboration with IBM. ABB Ltd was founded in 1883 and is headquartered in Zurich, Switzerland.",USD,Industrials,Capital Goods,Electrical Equipment,NYQ,New York Stock Exchange,Switzerland,,Zurich,8050,http://www.global.abb/group/,Large Cap,CH0012221716,,BBG000DK5SY6,BBG000DK5Q25,BBG001SDDMX9
AbbVie Inc.,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,NYQ,New York Stock Exchange,United States,IL,North Chicago,60064-6400,http://www.abbvie.com,Mega Cap,US00287Y1091,00287Y109,BBG003P7K0B5,BBG0025Y4RY4,BBG0025Y4RZ3
