Ticker,Status
AAPL,Active
NVDA,Active
MSFT,Active
AMZN,Active
META,Active
GOOGL,Active
GOOG,Active
BRK-A,Active
BRK-B,Active
AVGO,Active
TSLA,Active
LLY,Active
JPM,Active
XOM,Active
UNH,Active
V,Active
MA,Active
HD,Active
PG,Active
COST,Active
JNJ,Active
ABBV,Active
WMT,Active
NFLX,Active
BAC,Active
CRM,Active
ORCL,Active
MRK,Active
CVX,Active
KO,Active
AMD,Active
PEP,Active
WFC,Active
CSCO,Active
LIN,Active
ACN,Active
ADBE,Active
MCD,Active
TMO,Active
PM,Active
ABT,Active
NOW,Active
IBM,Active
GE,Active
TXN,Active
CAT,Active
QCOM,Active
ISRG,Active
VZ,Active
DIS,Active
AMGN,Active
CMCSA,Active
INTU,Active
GS,Active
NEE,Active
T,Active
RTX,Active
PFE,Active
BKNG,Active
DHR,Active
AMAT,Active
AXP,Active
SPGI,Active
LOW,Active
BLK,Active
UBER,Active
UNP,Active
PGR,Active
MS,Active
HON,Active
ETN,Active
SYK,Active
COP,Active
TJX,Active
BSX,Active
VRTX,Active
C,Active
ADP,Active
BX,Active
LMT,Active
MDT,Active
CB,Active
FI,Active
BMY,Active
GILD,Active
PANW,Active
ADI,Active
SBUX,Active
MU,Active
MMC,Active
TMUS,Active
SCHW,Active
PLD,Active
BA,Active
DE,Active
AMT,Active
SO,Active
ANET,Active
UPS,Active
LRCX,Active
ELV,Active
MO,Active
KKR,Active
NKE,Active
INTC,Active
MDLZ,Active
KLAC,Active
DUK,Active
ICE,Active
REGN,Active
CI,Active
WM,Active
EQIX,Active
SHW,Active
TT,Active
PLTR,Active
CEG,Active
GEV,Active
ZTS,Active
WELL,Active
PYPL,Active
PH,Active
CME,Active
GD,Active
APH,Active
SNPS,Active
ITW,Active
CMG,Active
CL,Active
CDNS,Active
USB,Active
PNC,Active
APO,Active
MSI,Active
MCO,Active
AON,Active
MMM,Active
CVS,Active
CTAS,Active
TDG,Active
NOC,Active
EOG,Active
TGT,Active
APD,Active
MRVL,Active
HCA,Active
BDX,Active
CRWD,Active
ORLY,Active
CSX,Active
CRH,Active
MCK,Active
FCX,Active
WMB,Active
FDX,Active
EMR,Active
COF,Active
ECL,Active
ADSK,Active
AJG,Active
CARR,Active
MAR,Active
ABNB,Active
AFL,Active
HLT,Active
DLR,Active
SLB,Active
TFC,Active
ROP,Active
GM,Active
NSC,Active
OKE,Active
SPOT,Active
TRV,Active
BK,Active
SPG,Active
DASH,Active
URI,Active
PCAR,Active
TTD,Active
SRE,Active
NEM,Active
PSA,Active
AEP,Active
O,Active
AZO,Active
AMP,Active
MPC,Active
PSX,Active
JCI,Active
FIS,Active
DHI,Active
D,Active
FTNT,Active
AIG,Active
WDAY,Active
ALL,Active
RCL,Active
GWW,Active
NU,Active
KMI,Active
FICO,Active
LHX,Active
CCI,Active
MET,Active
ROST,Active
KMB,Active
CPRT,Active
CMI,Active
PAYX,Active
PEG,Active
FAST,Active
APP,Active
MSCI,Active
PRU,Active
PWR,Active
LNG,Active
KVUE,Active
PCG,Active
VST,Active
CTVA,Active
AME,Active
VLO,Active
LEN,Active
RSG,Active
F,Active
HWM,Active
CBRE,Active
EA,Active
SQ,Active
EW,Active
FERG,Active
ODFL,Active
OTIS,Active
MCHP,Active
EXC,Active
VRT,Active
IR,Active
VRSK,Active
GEHC,Active
A,Active
MSTR,Active
BKR,Active
IT,Active
GIS,Active
COR,Active
MNST,Active
SYY,Active
DDOG,Active
HES,Active
XEL,Active
DFS,Active
DAL,Active
KR,Active
IQV,Active
CTSH,Active
YUM,Active
KDP,Active
TRGP,Active
STZ,Active
GLW,Active
IRM,Active
VMC,Active
MLM,Active
SNOW,Active
LULU,Active
MPWR,Active
ACGL,Active
ED,Active
COIN,Active
RMD,Active
DOW,Active
HPQ,Active
DD,Active
EXR,Active
NUE,Active
ALNY,Active
DELL,Active
IDXX,Active
FANG,Active
OXY,Active
ETR,Active
VICI,Active
WAB,Active
CNC,Active
EFX,Active
MTB,Active
HIG,Active
AVB,Active
EIX,Active
WTW,Active
HUM,Active
VEEV,Active
ARES,Active
GRMN,Active
CHTR,Active
AXON,Active
WEC,Active
NDAQ,Active
ROK,Active
ON,Active
FITB,Active
TEAM,Active
CPNG,Active
KHC,Active
CSGP,Active
XYL,Active
PPG,Active
EBAY,Active
TSCO,Active
DXCM,Active
STT,Active
TTWO,Active
RJF,Active
ANSS,Active
MTD,Active
HUBS,Active
AWK,Active
CVNA,Active
PHM,Active
EQR,Active
SW,Active
VTR,Active
NET,Active
ADM,Active
RBLX,Active
NVR,Active
GPN,Active
CAH,Active
UAL,Active
DTE,Active
KEYS,Active
DOV,Active
HSY,Active
TYL,Active
BIIB,Active
IFF,Active
VLTO,Active
HPE,Active
CDW,Active
FTV,Active
BRO,Active
BR,Active
LDOS,Active
DECK,Active
CHD,Active
HAL,Active
SBAC,Active
TROW,Active
DVN,Active
PPL,Active
FE,Active
NTAP,Active
GDDY,Active
BAH,Active
AEE,Active
ES,Active
FCNCA,Active
HUBB,Active
WY,Active
ILMN,Active
CBOE,Active
CPAY,Active
LYB,Active
HBAN,Active
WST,Active
STE,Active
RF,Active
PTC,Active
ZBH,Active
CCL,Active
TPL,Active
SYF,Active
CINF,Active
WDC,Active
EQT,Active
LPLA,Active
TDY,Active
K,Active
EME,Active
CMS,Active
ATO,Active
BLDR,Active
FSLR,Active
PKG,Active
COO,Active
NTRS,Active
MKC,Active
ZM,Active
EXPE,Active
WBD,Active
TRU,Active
MKL,Active
CLX,Active
ARE,Active
CSL,Active
BBY,Active
OMC,Active
LH,Active
ZBRA,Active
EXE,Active
STLD,Active
INVH,Active
WAT,Active
PINS,Active
DRI,Active
MDB,Active
IP,Active
LII,Active
CFG,Active
CNP,Active
PFG,Active
NRG,Active
MOH,Active
LUV,Active
LYV,Active
LVS,Active
BALL,Active
ESS,Active
HOLX,Active
BAX,Active
CTRA,Active
DG,Active
MAA,Active
J,Active
MAS,Active
MRNA,Active
ULTA,Active
FDS,Active
SNA,Active
DGX,Active
WSM,Active
WRB,Active
AVY,Active
TER,Active
ZS,Active
EXPD,Active
RS,Active
TSN,Active
RPM,Active
SUI,Active
FWONK,Active
PODD,Active
PNR,Active
WSO,Active
MANH,Active
DKNG,Active
AMCR,Active
IEX,Active
UTHR,Active
IBKR,Active
GEN,Active
DT,Active
GPC,Active
RBA,Active
DOC,Active
EL,Active
KEY,Active
BURL,Active
NI,Active
ENTG,Active
HOOD,Active
FNF,Active
MRO,Active
HEI-A,Active
EG,Active
PSTG,Active
APTV,Active
KIM,Active
ALGN,Active
TXT,Active
GWRE,Active
OC,Active
LNT,Active
NTNX,Active
AKAM,Active
TW,Active
AVTR,Active
TOL,Active
SSNC,Active
JBHT,Active
CF,Active
EQH,Active
VRSN,Active
THC,Active
XPO,Active
RVTY,Active
CASY,Active
TRMB,Active
DPZ,Active
SMCI,Active
DOCU,Active
NDSN,Active
ACM,Active
TWLO,Active
SWKS,Active
SWK,Active
CE,Active
L,Active
UDR,Active
FIX,Active
RGA,Active
VTRS,Active
USFD,Active
FFIV,Active
FTAI,Active
CAG,Active
JBL,Active
EWBC,Active
JKHY,Active
GGG,Active
EVRG,Active
NTRA,Active
RNR,Active
GLPI,Active
TOST,Active
POOL,Active
DLTR,Active
ROL,Active
TXRH,Active
TTEK,Active
SAIA,Active
CW,Active
ELS,Active
JLL,Active
REG,Active
JNPR,Active
PFGC,Active
SFM,Active
PCVX,Active
BXP,Active
CACI,Active
EMN,Active
EXAS,Active
NVT,Active
BMRN,Active
WPC,Active
BG,Active
HST,Active
ALLE,Active
COHR,Active
CPT,Active
CHRW,Active
INCY,Active
NBIX,Active
SOFI,Active
SRPT,Active
OKTA,Active
SCI,Active
AES,Active
CLH,Active
UHS,Active
AMH,Active
FTI,Active
SJM,Active
KMX,Active
TECH,Active
ITT,Active
LAMR,Active
BWXT,Active
BLD,Active
JEF,Active
LW,Active
OWL,Active
TPR,Active
ENPH,Active
BJ,Active
DKS,Active
ALB,Active
IPG,Active
NCLH,Active
CCK,Active
ATR,Active
PAYC,Active
HEI,Active
MKTX,Active
RRX,Active
LECO,Active
WMS,Active
DUOL,Active
FND,Active
CG,Active
NWSA,Active
RPRX,Active
EPAM,Active
CUBE,Active
OVV,Active
UNM,Active
INSM,Active
AFRM,Active
OHI,Active
CTLT,Active
DAY,Active
FBIN,Active
EHC,Active
CHDN,Active
DOX,Active
PNW,Active
CAVA,Active
WYNN,Active
SF,Active
AA,Active
SOLV,Active
WWD,Active
ONTO,Active
AIZ,Active
ARMK,Active
WTRG,Active
ALSN,Active
CNH,Active
RGLD,Active
LKQ,Active
PRI,Active
FOXA,Active
FHN,Active
TFX,Active
EXP,Active
GNRC,Active
AYI,Active
CIEN,Active
EXEL,Active
Z,Active
MLI,Active
TAP,Active
ALLY,Active
EVR,Active
AFG,Active
GL,Active
HSIC,Active
QGEN,Active
NLY,Active
FRT,Active
MTCH,Active
KNSL,Active
SCCO,Active
CRL,Active
TKO,Active
AIT,Active
REXR,Active
KBR,Active
HAS,Active
NYT,Active
PR,Active
WBS,Active
MUSA,Active
FYBR,Active
HRL,Active
AOS,Active
HLI,Active
DCI,Active
INGR,Active
ITCI,Active
MORN,Active
CPB,Active
FLR,Active
WAL,Active
MOS,Active
LAD,Active
APA,Active
AAL,Active
BRBR,Active
LBRDK,Active
ORI,Active
SNX,Active
ENSG,Active
CMA,Active
X,Active
AXTA,Active
CZR,Active
GLOB,Active
CNM,Active
FN,Active
OLED,Active
DTM,Active
VOYA,Active
MGM,Active
TTC,Active
WING,Active
EGP,Active
WCC,Active
GME,Active
PCTY,Active
RIVN,Active
LNW,Active
PEN,Active
OGE,Active
GMED,Active
GPK,Active
KNX,Active
HRB,Active
RBC,Active
RL,Active
BRX,Active
BERY,Active
FMC,Active
SKX,Active
ROKU,Active
PNFP,Active
CR,Active
MEDP,Active
CHE,Active
WTFC,Active
CHRD,Active
NNN,Active
TPX,Active
RVMD,Active
SMAR,Active
BWA,Active
SSD,Active
APG,Active
LNTH,Active
CFR,Active
ZION,Active
MTZ,Active
SSB,Active
CART,Active
TREX,Active
BF-B,Active
SEIC,Active
AAON,Active
ADC,Active
ACI,Active
BFAM,Active
HII,Active
UFPI,Active
AR,Active
CBSH,Active
VKTX,Active
RGEN,Active
HQY,Active
VNO,Active
COLD,Active
SAIC,Active
RHI,Active
VFC,Active
XP,Active
GNTX,Active
S,Active
WH,Active
AGNC,Active
WEX,Active
DVA,Active
RRC,Active
JXN,Active
SNV,Active
FLS,Active
MIDD,Active
STAG,Active
MHK,Active
CRS,Active
ESAB,Active
QRVO,Active
GXO,Active
HLNE,Active
LSCC,Active
BIO,Active
PCOR,Active
TMHC,Active
FCN,Active
OSK,Active
CGNX,Active
UHAL-B,Active
EXLS,Active
JAZZ,Active
WBA,Active
PB,Active
FR,Active
ANF,Active
BSY,Active
MAT,Active
G,Active
RLI,Active
AZPN,Active
KEX,Active
CVLT,Active
MTH,Active
PLNT,Active
COKE,Active
SIRI,Active
FAF,Active
RYAN,Active
SPXC,Active
CROX,Active
ESNT,Active
GKOS,Active
R,Active
MKSI,Active
AZEK,Active
ATI,Active
BBWI,Active
IVZ,Active
MTG,Active
VMI,Active
LUMN,Active
MTDR,Active
BPOP,Active
SITE,Active
ESTC,Active
HR,Active
CMC,Active
ARW,Active
GTLB,Active
H,Active
CLF,Active
AWI,Active
CFLT,Active
MTN,Active
MOD,Active
HALO,Active
PARA,Active
BEN,Active
NOVT,Active
LPX,Active
BRKR,Active
DAR,Active
MASI,Active
AXS,Active
DBX,Active
DINO,Active
RHP,Active
STWD,Active
GBCI,Active
MTSI,Active
ELAN,Active
AGCO,Active
WSC,Active
NOV,Active
SN,Active
AMG,Active
LSTR,Active
SPSC,Active
BMI,Active
ONB,Active
FRPT,Active
IONS,Active
ALTR,Active
MSA,Active
ESI,Active
BECN,Active
VNT,Active
ETSY,Active
CRUS,Active
BILL,Active
ALK,Active
OLLI,Active
CWST,Active
HRI,Active
COLB,Active
CSWI,Active
LNC,Active
TPG,Active
LFUS,Active
SUM,Active
LAZ,Active
U,Active
WFRD,Active
MMSI,Active
FOUR,Active
NXT,Active
LEA,Active
CBT,Active
VRNS,Active
SIGI,Active
TRNO,Active
USD,Active
CYTK,Active
ELF,Active
BC,Active
MDU,Active
INSP,Active
COOP,Active
KNF,Active
NFG,Active
BPMC,Active
EPRT,Active
SRCL,Verified Delisted
WHR,Active
AVAV,Active
PATH,Active
OMF,Active
POST,Active
BCC,Active
CHX,Active
MATX,Active
MOG-A,Active
ALTM,Active
FOX,Active
PVH,Active
NXST,Active
RITM,Active
JHG,Active
VNOM,Active
HOMB,Active
KBH,Active
KRG,Active
MMS,Active
CELH,Active
ZWS,Active
RMBS,Active
THG,Active
FIVE,Active
ST,Active
THO,Active
TKR,Active
DOCS,Active
RDN,Active
UMBF,Active
VVV,Active
OLN,Active
SON,Active
UBSI,Active
BCPC,Active
GPI,Active
SEE,Active
FNB,Active
HXL,Active
GTLS,Active
ACIW,Active
KD,Active
BYD,Active
UGI,Active
PSN,Active
CNX,Active
IDA,Active
SM,Active
WTS,Active
SKY,Active
RH,Active
AVT,Active
ITRI,Active
ROIV,Active
ZETA,Active
IBP,Active
CIVI,Active
CRNX,Active
BIPC,Active
OZK,Active
NSIT,Active
OGN,Active
HCP,Active
AM,Active
RARE,Active
SLM,Active
BDC,Active
STRL,Active
AUR,Active
CRDO,Active
PECO,Active
POR,Active
EXPO,Active
CADE,Active
SLG,Active
PIPR,Active
AL,Active
SWX,Active
APPF,Active
QTWO,Active
DY,Active
KRC,Active
FSS,Active
FFIN,Active
GATX,Active
TENB,Active
CCCS,Active
EAT,Active
ABG,Active
HWC,Active
AGO,Active
SBRA,Active
LINE,Active
MGY,Active
XRAY,Active
EEFT,Active
CUZ,Active
MARA,Active
LITE,Active
RNA,Active
KTB,Active
NJR,Active
LYFT,Active
MDGL,Active
ACA,Active
BCO,Active
CTRE,Active
MUR,Active
WLK,Active
QLYS,Active
NE,Active
BOX,Active
RYN,Active
MSGS,Active
PRMW,Active
WTM,Active
ASH,Active
PI,Active
SHAK,Active
VRRM,Active
KRYS,Active
SLGN,Active
IRT,Active
FTDR,Active
RDNT,Active
M,Active
DLB,Active
ITGR,Active
CORT,Active
FELE,Active
SFBS,Active
CWAN,Active
ENS,Active
GAP,Active
HASI,Active
KAI,Active
ASGN,Active
LOPE,Active
MHO,Active
FUL,Active
FLO,Active
ORA,Active
ALKS,Active
MAC,Active
HL,Active
RKLB,Active
