symbol,asset_name,sector,industry,first_traded,index_inclusion
AAPL,Apple Inc.,Technology,Consumer Electronics,1980-12-12,1982-11-30
NVDA,NVIDIA Corporation,Technology,Semiconductors,1999-01-22,2001-11-30
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,1986-03-13,1994-06-01
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,1997-05-15,2005-11-18
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,2012-05-18,2013-12-23
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,2004-08-19,2014-04-03
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,2004-08-19,2006-04-03
BRK-A,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,1980-03-17,2010-02-16
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,1996-05-09,2010-02-16
AVGO,Broadcom Inc.,Technology,Semiconductors,2009-08-06,2014-05-08
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,2010-06-29,2020-12-21
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,1972-06-01,1970-12-31
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,1980-03-17,1975-06-30
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,1962-01-02,1957-03-04
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,1984-10-17,1994-07-01
V,Visa Inc.,Financial Services,Credit Services,2008-03-19,2009-12-21
MA,Mastercard Incorporated,Financial Services,Credit Services,2006-05-25,2008-07-18
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,1981-09-22,1988-03-31
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,1962-01-02,1957-03-04
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,1986-07-09,1993-10-01
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,1962-01-02,1973-06-30
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,2013-01-02,2012-12-31
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,1972-08-25,1982-08-31
NFLX,"Netflix, Inc.",Communication Services,Entertainment,2002-05-23,2010-12-20
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,1973-02-21,1976-06-30
CRM,"Salesforce, Inc.",Technology,Software - Application,2004-06-23,2008-09-15
